"","low","volumeNotional","volume","close","tradesDone","date","high","open","coin","price.percentage"
"1",6789.51561273849,1926759603.09355,264916.05745156,7273.09481210235,1467982,2019-11-22,7740.09933444842,7629.04944689525,"btc",0.388881082606814
"2",7085.83434758309,685172608.553492,93667.82748506,7314.91940135771,880636,2019-11-23,7347.06747380303,7271.27230756681,"btc",0.3911173784299
"3",6866.46082277589,902009319.263548,130564.87192759,6908.51456403828,985197,2019-11-24,7334.27610884431,7315.61439722622,"btc",0.369387543030196
"4",6558.10656677229,1000408571.6381,140553.84984569,7117.61771546224,831091,2019-11-25,7380.51538621769,6912.36461068361,"btc",0.380567963745589
"5",7019.76015951085,906684482.308522,126669.17009663,7157.89391859799,950329,2019-11-26,7341.01709747555,7111.49782709964,"btc",0.382721469767903
"6",6846.52350866555,1386814970.26108,184592.22149572,7512.85703711646,1145003,2019-11-27,7660.46040036353,7158.77481095125,"btc",0.401700796365606
"7",7342.82885046769,804106869.38086,108340.57394267,7422.028886485,902500,2019-11-28,7645.28003787222,7510.56390528392,"btc",0.396844356230938
"8",7385.79995478441,928934729.980607,119939.38695976,7745.03483407221,926422,2019-11-29,7859.08211404698,7422.68367821301,"btc",0.414114982536694
"9",7448.29950006626,665629605.603205,88195.12937902,7547.23770223921,828933,2019-11-30,7810.8447909176,7745.01925288468,"btc",0.403539077127659
"10",7223.50640914483,862094580.378039,116571.41123318,7395.4202943771,942850,2019-12-01,7547.1666261269,7546.4869381604,"btc",0.395421636140951
"11",7157.08031580397,649836555.967831,89046.66594797,7297.70788215172,839048,2019-12-02,7422.26942719992,7395.74494143137,"btc",0.390197105231894
"12",7242.46756559588,499390149.716949,68460.02359895,7294.62427069056,697195,2019-12-03,7403.5375071564,7296.75377144773,"btc",0.390032229316711
"13",7076.91929843491,850132142.418967,118112.09886167,7197.67196258717,639441,2019-12-04,7748.26550678181,7298.45149055171,"btc",0.384848339994419
